"MSOA","sex","age_band","econ_cat","freq"
"E02001709",1,4,9,11
"E02001709",1,5,0,49
"E02001709",1,5,1,252
"E02001709",1,5,2,20
"E02001709",1,5,3,96
"E02001709",1,5,4,17
"E02001709",1,5,5,152
"E02001709",1,5,6,1
"E02001709",1,5,7,3
"E02001709",1,5,8,28
"E02001709",1,5,9,6
"E02001709",1,6,0,24
"E02001709",1,6,1,17
"E02001709",1,6,2,19
"E02001709",1,6,3,23
"E02001709",1,6,4,2
"E02001709",1,6,5,673
"E02001709",1,6,6,0
"E02001709",1,6,7,0
"E02001709",1,6,8,7
"E02001709",1,6,9,4
"E02001710",0,1,0,137
"E02001710",0,1,1,134
"E02001710",0,1,2,6
"E02001710",0,1,3,2
"E02001710",0,1,4,79
"E02001710",0,1,5,0
"E02001710",0,1,6,150
"E02001710",0,1,7,54
"E02001710",0,1,8,5
"E02001710",0,1,9,24
"E02001710",0,2,0,161
"E02001710",0,2,1,288
"E02001710",0,2,2,16
"E02001710",0,2,3,9
"E02001710",0,2,4,47
"E02001710",0,2,5,1
"E02001710",0,2,6,23
"E02001710",0,2,7,118
"E02001710",0,2,8,28
"E02001710",0,2,9,20
"E02001710",0,3,0,193
"E02001710",0,3,1,228
"E02001710",0,3,2,12
"E02001710",0,3,3,19
"E02001710",0,3,4,34
"E02001710",0,3,5,0
"E02001710",0,3,6,7
"E02001710",0,3,7,81
"E02001710",0,3,8,49
"E02001710",0,3,9,20
"E02001710",0,4,0,205
"E02001710",0,4,1,285
"E02001710",0,4,2,14
"E02001710",0,4,3,11
"E02001710",0,4,4,22
"E02001710",0,4,5,8
"E02001710",0,4,6,4
"E02001710",0,4,7,44
"E02001710",0,4,8,85
"E02001710",0,4,9,26
"E02001710",0,5,0,122
"E02001710",0,5,1,112
"E02001710",0,5,2,7
"E02001710",0,5,3,8
"E02001710",0,5,4,11
"E02001710",0,5,5,179
"E02001710",0,5,6,0
"E02001710",0,5,7,16
"E02001710",0,5,8,62
"E02001710",0,5,9,9
"E02001710",0,6,0,28
"E02001710",0,6,1,23
"E02001710",0,6,2,2
"E02001710",0,6,3,2
"E02001710",0,6,4,0
"E02001710",0,6,5,870
"E02001710",0,6,6,0
"E02001710",0,6,7,0
"E02001710",0,6,8,15
"E02001710",0,6,9,21
"E02001710",1,1,0,93
"E02001710",1,1,1,174
"E02001710",1,1,2,1
"E02001710",1,1,3,6
"E02001710",1,1,4,96
"E02001710",1,1,5,0
"E02001710",1,1,6,171
"E02001710",1,1,7,5
"E02001710",1,1,8,27
"E02001710",1,1,9,16
"E02001710",1,2,0,57
"E02001710",1,2,1,354
"E02001710",1,2,2,11
"E02001710",1,2,3,41
"E02001710",1,2,4,57
"E02001710",1,2,5,1
"E02001710",1,2,6,18
"E02001710",1,2,7,18
"E02001710",1,2,8,35
"E02001710",1,2,9,13
"E02001710",1,3,0,47
"E02001710",1,3,1,355
"E02001710",1,3,2,12
"E02001710",1,3,3,47
"E02001710",1,3,4,59
"E02001710",1,3,5,0
"E02001710",1,3,6,8
"E02001710",1,3,7,24
"E02001710",1,3,8,50
"E02001710",1,3,9,12
"E02001710",1,4,0,37
"E02001710",1,4,1,370
"E02001710",1,4,2,18
"E02001710",1,4,3,75
"E02001710",1,4,4,56
"E02001710",1,4,5,7
"E02001710",1,4,6,1
"E02001710",1,4,7,15
"E02001710",1,4,8,86
"E02001710",1,4,9,18
"E02001710",1,5,0,36
"E02001710",1,5,1,219
"E02001710",1,5,2,19
"E02001710",1,5,3,44
"E02001710",1,5,4,31
"E02001710",1,5,5,98
"E02001710",1,5,6,2
"E02001710",1,5,7,4
"E02001710",1,5,8,113
"E02001710",1,5,9,12
"E02001710",1,6,0,17
"E02001710",1,6,1,29
"E02001710",1,6,2,2
"E02001710",1,6,3,10
"E02001710",1,6,4,2
"E02001710",1,6,5,598
"E02001710",1,6,6,2
"E02001710",1,6,7,0
"E02001710",1,6,8,8
"E02001710",1,6,9,9
"E02001711",0,1,0,152
"E02001711",0,1,1,130
"E02001711",0,1,2,1
"E02001711",0,1,3,4
"E02001711",0,1,4,64
"E02001711",0,1,5,0
"E02001711",0,1,6,131
"E02001711",0,1,7,61
"E02001711",0,1,8,9
"E02001711",0,1,9,19
"E02001711",0,2,0,162
"E02001711",0,2,1,240
"E02001711",0,2,2,8
"E02001711",0,2,3,11
"E02001711",0,2,4,42
"E02001711",0,2,5,1
"E02001711",0,2,6,17
"E02001711",0,2,7,103
"E02001711",0,2,8,31
"E02001711",0,2,9,19
"E02001711",0,3,0,206
"E02001711",0,3,1,233
"E02001711",0,3,2,14
"E02001711",0,3,3,14
"E02001711",0,3,4,35
"E02001711",0,3,5,1
"E02001711",0,3,6,5
"E02001711",0,3,7,79
"E02001711",0,3,8,46
"E02001711",0,3,9,13
"E02001711",0,4,0,243
"E02001711",0,4,1,286
"E02001711",0,4,2,9
"E02001711",0,4,3,21
"E02001711",0,4,4,28
"E02001711",0,4,5,4
"E02001711",0,4,6,2
"E02001711",0,4,7,53
"E02001711",0,4,8,79
"E02001711",0,4,9,26
"E02001711",0,5,0,102
"E02001711",0,5,1,108
"E02001711",0,5,2,10
"E02001711",0,5,3,9
"E02001711",0,5,4,6
"E02001711",0,5,5,163
"E02001711",0,5,6,1
"E02001711",0,5,7,19
"E02001711",0,5,8,51
"E02001711",0,5,9,10
"E02001711",0,6,0,16
"E02001711",0,6,1,14
"E02001711",0,6,2,3
"E02001711",0,6,3,1
"E02001711",0,6,4,1
"E02001711",0,6,5,877
"E02001711",0,6,6,4
"E02001711",0,6,7,2
"E02001711",0,6,8,22
"E02001711",0,6,9,18
"E02001711",1,1,0,90
"E02001711",1,1,1,165
"E02001711",1,1,2,3
"E02001711",1,1,3,17
"E02001711",1,1,4,113
"E02001711",1,1,5,0
"E02001711",1,1,6,129
"E02001711",1,1,7,3
"E02001711",1,1,8,14
"E02001711",1,1,9,12
"E02001711",1,2,0,47
"E02001711",1,2,1,333
"E02001711",1,2,2,9
"E02001711",1,2,3,30
"E02001711",1,2,4,71
"E02001711",1,2,5,0
"E02001711",1,2,6,11
"E02001711",1,2,7,16
"E02001711",1,2,8,33
"E02001711",1,2,9,16
"E02001711",1,3,0,42
"E02001711",1,3,1,355
"E02001711",1,3,2,14
"E02001711",1,3,3,55
"E02001711",1,3,4,44
"E02001711",1,3,5,4
"E02001711",1,3,6,8
"E02001711",1,3,7,17
"E02001711",1,3,8,52
"E02001711",1,3,9,16
"E02001711",1,4,0,43
"E02001711",1,4,1,382
"E02001711",1,4,2,17
"E02001711",1,4,3,88
"E02001711",1,4,4,50
"E02001711",1,4,5,11
"E02001711",1,4,6,2
"E02001711",1,4,7,16
"E02001711",1,4,8,74
"E02001711",1,4,9,17
"E02001711",1,5,0,41
"E02001711",1,5,1,187
"E02001711",1,5,2,11
"E02001711",1,5,3,45
"E02001711",1,5,4,26
"E02001711",1,5,5,89
"E02001711",1,5,6,0
"E02001711",1,5,7,8
"E02001711",1,5,8,77
"E02001711",1,5,9,17
"E02001711",1,6,0,19
"E02001711",1,6,1,14
"E02001711",1,6,2,12
"E02001711",1,6,3,13
"E02001711",1,6,4,2
"E02001711",1,6,5,588
"E02001711",1,6,6,2
"E02001711",1,6,7,0
"E02001711",1,6,8,8
"E02001711",1,6,9,19
"E02001712",0,1,0,142
"E02001712",0,1,1,168
"E02001712",0,1,2,3
"E02001712",0,1,3,2
"E02001712",0,1,4,55
"E02001712",0,1,5,1
"E02001712",0,1,6,322
"E02001712",0,1,7,5
"E02001712",0,1,8,6
"E02001712",0,1,9,7
"E02001712",0,2,0,109
"E02001712",0,2,1,482
"E02001712",0,2,2,16
"E02001712",0,2,3,26
"E02001712",0,2,4,14
"E02001712",0,2,5,0
"E02001712",0,2,6,54
"E02001712",0,2,7,45
"E02001712",0,2,8,5
"E02001712",0,2,9,8
"E02001712",0,3,0,179
"E02001712",0,3,1,251
"E02001712",0,3,2,39
"E02001712",0,3,3,35
"E02001712",0,3,4,12
"E02001712",0,3,5,0
"E02001712",0,3,6,19
"E02001712",0,3,7,77
"E02001712",0,3,8,19
"E02001712",0,3,9,16
"E02001712",0,4,0,154
"E02001712",0,4,1,322
"E02001712",0,4,2,33
"E02001712",0,4,3,28
"E02001712",0,4,4,16
"E02001712",0,4,5,7
"E02001712",0,4,6,6
"E02001712",0,4,7,43
"E02001712",0,4,8,27
"E02001712",0,4,9,12
"E02001712",0,5,0,101
"E02001712",0,5,1,172
"E02001712",0,5,2,26
"E02001712",0,5,3,17
"E02001712",0,5,4,8
"E02001712",0,5,5,185
"E02001712",0,5,6,4
"E02001712",0,5,7,14
"E02001712",0,5,8,21
"E02001712",0,5,9,12
"E02001712",0,6,0,25
"E02001712",0,6,1,6
"E02001712",0,6,2,18
"E02001712",0,6,3,2
"E02001712",0,6,4,2
"E02001712",0,6,5,804
"E02001712",0,6,6,3
"E02001712",0,6,7,6
"E02001712",0,6,8,19
"E02001712",0,6,9,16
"E02001712",1,1,0,121
"E02001712",1,1,1,163
"E02001712",1,1,2,2
"E02001712",1,1,3,5
"E02001712",1,1,4,53
"E02001712",1,1,5,0
"E02001712",1,1,6,387
"E02001712",1,1,7,0
"E02001712",1,1,8,1
"E02001712",1,1,9,6
"E02001712",1,2,0,44
"E02001712",1,2,1,598
"E02001712",1,2,2,9
"E02001712",1,2,3,72
"E02001712",1,2,4,36
"E02001712",1,2,5,0
"E02001712",1,2,6,59
"E02001712",1,2,7,3
"E02001712",1,2,8,10
"E02001712",1,2,9,15
"E02001712",1,3,0,30
"E02001712",1,3,1,469
"E02001712",1,3,2,22
"E02001712",1,3,3,72
"E02001712",1,3,4,12
"E02001712",1,3,5,2
"E02001712",1,3,6,14
"E02001712",1,3,7,12
"E02001712",1,3,8,17
"E02001712",1,3,9,5
"E02001712",1,4,0,33
"E02001712",1,4,1,412
"E02001712",1,4,2,22
"E02001712",1,4,3,136
"E02001712",1,4,4,13
"E02001712",1,4,5,6
"E02001712",1,4,6,9
"E02001712",1,4,7,9
"E02001712",1,4,8,20
"E02001712",1,4,9,4
"E02001712",1,5,0,40
"E02001712",1,5,1,215
"E02001712",1,5,2,28
"E02001712",1,5,3,73
"E02001712",1,5,4,16
"E02001712",1,5,5,130
"E02001712",1,5,6,0
"E02001712",1,5,7,4
"E02001712",1,5,8,28
"E02001712",1,5,9,12
"E02001712",1,6,0,20
"E02001712",1,6,1,18
"E02001712",1,6,2,17
"E02001712",1,6,3,12
"E02001712",1,6,4,1
"E02001712",1,6,5,535
"E02001712",1,6,6,1
"E02001712",1,6,7,0
"E02001712",1,6,8,4
"E02001712",1,6,9,5
"E02001713",0,1,0,118
"E02001713",0,1,1,118
"E02001713",0,1,2,5
"E02001713",0,1,3,2
"E02001713",0,1,4,35
"E02001713",0,1,5,0
"E02001713",0,1,6,206
"E02001713",0,1,7,11
"E02001713",0,1,8,4
"E02001713",0,1,9,12
"E02001713",0,2,0,106
"E02001713",0,2,1,428
"E02001713",0,2,2,19
"E02001713",0,2,3,24
"E02001713",0,2,4,18
"E02001713",0,2,5,1
"E02001713",0,2,6,28
"E02001713",0,2,7,53
"E02001713",0,2,8,15
"E02001713",0,2,9,10
"E02001713",0,3,0,212
"E02001713",0,3,1,307
"E02001713",0,3,2,45
"E02001713",0,3,3,39
"E02001713",0,3,4,22
"E02001713",0,3,5,0
"E02001713",0,3,6,11
"E02001713",0,3,7,77
"E02001713",0,3,8,32
"E02001713",0,3,9,7
"E02001713",0,4,0,196
"E02001713",0,4,1,337
"E02001713",0,4,2,50
"E02001713",0,4,3,50
"E02001713",0,4,4,18
"E02001713",0,4,5,16
"E02001713",0,4,6,6
"E02001713",0,4,7,59
"E02001713",0,4,8,33
"E02001713",0,4,9,8
"E02001713",0,5,0,122
"E02001713",0,5,1,168
"E02001713",0,5,2,34
"E02001713",0,5,3,29
"E02001713",0,5,4,5
"E02001713",0,5,5,196
"E02001713",0,5,6,1
"E02001713",0,5,7,17
"E02001713",0,5,8,33
"E02001713",0,5,9,13
"E02001713",0,6,0,34
"E02001713",0,6,1,11
"E02001713",0,6,2,16
"E02001713",0,6,3,5
"E02001713",0,6,4,1
"E02001713",0,6,5,896
"E02001713",0,6,6,3
"E02001713",0,6,7,11
"E02001713",0,6,8,14
"E02001713",0,6,9,17
"E02001713",1,1,0,102
"E02001713",1,1,1,116
"E02001713",1,1,2,2
"E02001713",1,1,3,7
"E02001713",1,1,4,60
"E02001713",1,1,5,0
"E02001713",1,1,6,217
"E02001713",1,1,7,0
"E02001713",1,1,8,19
"E02001713",1,1,9,12
"E02001713",1,2,0,43
"E02001713",1,2,1,507
"E02001713",1,2,2,13
"E02001713",1,2,3,60
"E02001713",1,2,4,28
"E02001713",1,2,5,0
"E02001713",1,2,6,32
"E02001713",1,2,7,2
"E02001713",1,2,8,28
"E02001713",1,2,9,20
"E02001713",1,3,0,26
"E02001713",1,3,1,498
"E02001713",1,3,2,12
"E02001713",1,3,3,97
"E02001713",1,3,4,24
"E02001713",1,3,5,1
"E02001713",1,3,6,7
"E02001713",1,3,7,5
"E02001713",1,3,8,38
"E02001713",1,3,9,7
"E02001713",1,4,0,31
"E02001713",1,4,1,465
"E02001713",1,4,2,24
"E02001713",1,4,3,182
"E02001713",1,4,4,17
"E02001713",1,4,5,5
"E02001713",1,4,6,7
"E02001713",1,4,7,10
"E02001713",1,4,8,43
"E02001713",1,4,9,11
"E02001713",1,5,0,48
"E02001713",1,5,1,250
"E02001713",1,5,2,42
"E02001713",1,5,3,110
"E02001713",1,5,4,15
"E02001713",1,5,5,106
"E02001713",1,5,6,1
"E02001713",1,5,7,2
"E02001713",1,5,8,41
"E02001713",1,5,9,8
"E02001713",1,6,0,41
"E02001713",1,6,1,28
"E02001713",1,6,2,23
"E02001713",1,6,3,17
"E02001713",1,6,4,1
"E02001713",1,6,5,620
"E02001713",1,6,6,1
"E02001713",1,6,7,1
"E02001713",1,6,8,12
"E02001713",1,6,9,6
"E02001714",0,1,0,141
"E02001714",0,1,1,135
"E02001714",0,1,2,4
"E02001714",0,1,3,1
"E02001714",0,1,4,60
"E02001714",0,1,5,0
"E02001714",0,1,6,228
"E02001714",0,1,7,5
"E02001714",0,1,8,3
"E02001714",0,1,9,4
"E02001714",0,2,0,122
"E02001714",0,2,1,414
"E02001714",0,2,2,12
"E02001714",0,2,3,20
"E02001714",0,2,4,15
"E02001714",0,2,5,0
"E02001714",0,2,6,19
"E02001714",0,2,7,48
"E02001714",0,2,8,3
"E02001714",0,2,9,12
"E02001714",0,3,0,215
"E02001714",0,3,1,311
"E02001714",0,3,2,27
"E02001714",0,3,3,17
"E02001714",0,3,4,16
"E02001714",0,3,5,1
"E02001714",0,3,6,5
"E02001714",0,3,7,74
"E02001714",0,3,8,15
"E02001714",0,3,9,10
"E02001714",0,4,0,257
"E02001714",0,4,1,383
"E02001714",0,4,2,20
"E02001714",0,4,3,34
"E02001714",0,4,4,17
"E02001714",0,4,5,17
"E02001714",0,4,6,5
"E02001714",0,4,7,46
"E02001714",0,4,8,30
"E02001714",0,4,9,11
"E02001714",0,5,0,130
"E02001714",0,5,1,154
"E02001714",0,5,2,17
"E02001714",0,5,3,19
"E02001714",0,5,4,10
"E02001714",0,5,5,216
"E02001714",0,5,6,0
"E02001714",0,5,7,19
"E02001714",0,5,8,21
"E02001714",0,5,9,14
"E02001714",0,6,0,18
"E02001714",0,6,1,9
"E02001714",0,6,2,7
"E02001714",0,6,3,1
"E02001714",0,6,4,0
"E02001714",0,6,5,727
"E02001714",0,6,6,2
"E02001714",0,6,7,4
"E02001714",0,6,8,7
"E02001714",0,6,9,8
"E02001714",1,1,0,89
"E02001714",1,1,1,156
"E02001714",1,1,2,4
"E02001714",1,1,3,6
"E02001714",1,1,4,70
"E02001714",1,1,5,0
"E02001714",1,1,6,236
"E02001714",1,1,7,1
"E02001714",1,1,8,9
"E02001714",1,1,9,10
"E02001714",1,2,0,46
"E02001714",1,2,1,439
"E02001714",1,2,2,16
"E02001714",1,2,3,63
"E02001714",1,2,4,25
"E02001714",1,2,5,0
"E02001714",1,2,6,17
"E02001714",1,2,7,1
"E02001714",1,2,8,10
"E02001714",1,2,9,6
"E02001714",1,3,0,27
"E02001714",1,3,1,496
"E02001714",1,3,2,16
"E02001714",1,3,3,100
"E02001714",1,3,4,12
"E02001714",1,3,5,1
"E02001714",1,3,6,9
"E02001714",1,3,7,10
"E02001714",1,3,8,9
"E02001714",1,3,9,7
"E02001714",1,4,0,39
"E02001714",1,4,1,526
"E02001714",1,4,2,20
"E02001714",1,4,3,103
"E02001714",1,4,4,19
"E02001714",1,4,5,13
"E02001714",1,4,6,1
"E02001714",1,4,7,3
"E02001714",1,4,8,19
"E02001714",1,4,9,7
"E02001714",1,5,0,48
"E02001714",1,5,1,278
"E02001714",1,5,2,16
"E02001714",1,5,3,78
"E02001714",1,5,4,22
"E02001714",1,5,5,129
"E02001714",1,5,6,1
"E02001714",1,5,7,5
"E02001714",1,5,8,37
"E02001714",1,5,9,13
"E02001714",1,6,0,14
"E02001714",1,6,1,18
"E02001714",1,6,2,14
"E02001714",1,6,3,10
"E02001714",1,6,4,5
"E02001714",1,6,5,526
"E02001714",1,6,6,1
"E02001714",1,6,7,0
"E02001714",1,6,8,5
"E02001714",1,6,9,9
"E02001715",0,1,0,161
"E02001715",0,1,1,162
"E02001715",0,1,2,2
"E02001715",0,1,3,2
"E02001715",0,1,4,70
"E02001715",0,1,5,0
"E02001715",0,1,6,150
"E02001715",0,1,7,65
"E02001715",0,1,8,8
"E02001715",0,1,9,32
"E02001715",0,2,0,210
"E02001715",0,2,1,373
"E02001715",0,2,2,9
"E02001715",0,2,3,11
"E02001715",0,2,4,54
"E02001715",0,2,5,0
"E02001715",0,2,6,31
"E02001715",0,2,7,156
"E02001715",0,2,8,20
"E02001715",0,2,9,31
"E02001715",0,3,0,211
"E02001715",0,3,1,267
"E02001715",0,3,2,17
"E02001715",0,3,3,18
"E02001715",0,3,4,51
"E02001715",0,3,5,0
"E02001715",0,3,6,24
"E02001715",0,3,7,122
"E02001715",0,3,8,65
"E02001715",0,3,9,22
"E02001715",0,4,0,179
"E02001715",0,4,1,318
"E02001715",0,4,2,17
"E02001715",0,4,3,15
"E02001715",0,4,4,43
"E02001715",0,4,5,5
"E02001715",0,4,6,2
"E02001715",0,4,7,69
"E02001715",0,4,8,97
"E02001715",0,4,9,14
"E02001715",0,5,0,120
"E02001715",0,5,1,115
"E02001715",0,5,2,11
"E02001715",0,5,3,8
"E02001715",0,5,4,6
"E02001715",0,5,5,201
"E02001715",0,5,6,1
"E02001715",0,5,7,29
"E02001715",0,5,8,64
"E02001715",0,5,9,12
"E02001715",0,6,0,20
"E02001715",0,6,1,11
"E02001715",0,6,2,3
"E02001715",0,6,3,1
"E02001715",0,6,4,1
"E02001715",0,6,5,737
"E02001715",0,6,6,5
"E02001715",0,6,7,2
"E02001715",0,6,8,13
"E02001715",0,6,9,24
"E02001715",1,1,0,139
"E02001715",1,1,1,142
"E02001715",1,1,2,4
"E02001715",1,1,3,13
"E02001715",1,1,4,135
"E02001715",1,1,5,0
"E02001715",1,1,6,183
"E02001715",1,1,7,4
"E02001715",1,1,8,13
"E02001715",1,1,9,15
"E02001715",1,2,0,77
"E02001715",1,2,1,517
"E02001715",1,2,2,4
"E02001715",1,2,3,57
"E02001715",1,2,4,74
"E02001715",1,2,5,2
"E02001715",1,2,6,17
"E02001715",1,2,7,7
"E02001715",1,2,8,34
"E02001715",1,2,9,15
"E02001715",1,3,0,68
"E02001715",1,3,1,427
"E02001715",1,3,2,18
"E02001715",1,3,3,72
"E02001715",1,3,4,69
"E02001715",1,3,5,2
"E02001715",1,3,6,15
"E02001715",1,3,7,19
"E02001715",1,3,8,74
"E02001715",1,3,9,19
"E02001715",1,4,0,52
"E02001715",1,4,1,412
"E02001715",1,4,2,22
"E02001715",1,4,3,92
"E02001715",1,4,4,46
"E02001715",1,4,5,11
"E02001715",1,4,6,5
"E02001715",1,4,7,20
"E02001715",1,4,8,85
"E02001715",1,4,9,15
"E02001715",1,5,0,45
"E02001715",1,5,1,235
"E02001715",1,5,2,21
"E02001715",1,5,3,46
"E02001715",1,5,4,33
"E02001715",1,5,5,107
"E02001715",1,5,6,2
"E02001715",1,5,7,11
"E02001715",1,5,8,102
"E02001715",1,5,9,15
"E02001715",1,6,0,10
"E02001715",1,6,1,10
"E02001715",1,6,2,11
"E02001715",1,6,3,9
"E02001715",1,6,4,2
"E02001715",1,6,5,532
"E02001715",1,6,6,1
"E02001715",1,6,7,0
"E02001715",1,6,8,9
"E02001715",1,6,9,9
"E02001718",0,1,0,92
"E02001718",0,1,1,67
"E02001718",0,1,2,1
"E02001718",0,1,3,0
"E02001718",0,1,4,37
"E02001718",0,1,5,0
"E02001718",0,1,6,80
"E02001718",0,1,7,18
"E02001718",0,1,8,5
"E02001718",0,1,9,14
"E02001718",0,2,0,87
"E02001718",0,2,1,133
"E02001718",0,2,2,3
"E02001718",0,2,3,5
"E02001718",0,2,4,21
"E02001718",0,2,5,0
"E02001718",0,2,6,7
"E02001718",0,2,7,73
"E02001718",0,2,8,7
"E02001718",0,2,9,12
"E02001718",0,3,0,130
"E02001718",0,3,1,125
"E02001718",0,3,2,11
"E02001718",0,3,3,11
"E02001718",0,3,4,18
"E02001718",0,3,5,0
"E02001718",0,3,6,4
"E02001718",0,3,7,56
"E02001718",0,3,8,26
"E02001718",0,3,9,5
"E02001718",0,4,0,119
"E02001718",0,4,1,138
"E02001718",0,4,2,3
"E02001718",0,4,3,4
"E02001718",0,4,4,12
"E02001718",0,4,5,1
